,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
364,1,3,1,0,1,0,1,3,1,1,0,1,2,1
365,1,3,1,0,2,2,1,3,2,2,1,1,2,1
366,0,4,1,1,3,2,1,3,2,3,1,2,2,1
367,0,4,2,3,3,2,3,3,2,3,3,2,2,1
368,1,4,3,3,4,3,3,4,2,3,3,2,2,2
369,1,4,3,3,4,3,3,4,3,3,3,4,2,3
370,0,4,3,3,4,4,3,4,4,4,4,4,3,3
371,1,0,1,1,0,0,1,0,0,1,0,0,1,1
372,1,1,1,1,1,0,2,1,0,1,0,0,1,2
373,0,1,2,2,1,1,2,1,1,1,1,0,2,2
374,1,2,2,2,1,2,2,2,3,1,1,0,2,2
375,0,2,2,2,2,3,2,2,3,2,2,0,2,3
377,0,4,3,2,4,3,3,2,3,2,3,2,3,3
378,1,4,3,2,4,3,4,3,4,3,4,2,3,3
379,0,4,3,4,4,4,4,4,4,4,4,2,3,4
380,0,0,1,0,0,0,0,0,0,1,0,2,1,0
381,1,0,2,2,0,0,0,0,0,2,1,2,1,0
382,1,0,2,2,1,1,1,2,0,2,2,2,1,0
383,0,1,3,3,1,1,1,2,0,2,2,2,2,0
384,1,1,3,3,2,1,3,2,0,2,2,3,2,1
385,1,2,3,3,3,2,3,2,0,2,3,4,2,2
386,0,3,3,3,4,3,3,3,0,2,3,4,2,3
387,1,4,3,4,4,3,4,3,0,2,4,4,2,3
388,1,4,3,4,4,3,4,4,1,3,4,4,3,4
389,0,0,1,0,0,1,0,0,3,1,0,1,1,1
390,0,0,2,1,0,3,1,0,4,1,0,2,1,1
391,0,1,2,1,2,3,2,1,4,1,0,2,1,1
392,0,1,2,2,2,3,2,3,4,1,1,2,2,1
394,0,3,2,2,3,3,2,3,4,3,2,3,3,2
396,1,4,3,4,4,4,3,4,4,4,3,3,4,2
397,1,0,0,0,0,0,0,0,0,0,0,0,0,0
398,1,0,0,0,0,0,1,0,1,0,1,1,0,1
399,1,1,1,0,1,0,2,1,1,1,1,1,0,1
400,0,1,2,0,1,0,2,2,2,1,2,2,0,1
401,0,2,2,1,2,1,3,2,2,1,2,2,1,1
402,1,3,2,1,3,1,3,2,2,1,3,3,1,2
403,0,4,2,2,3,2,3,2,3,2,3,3,2,2
404,1,4,2,2,3,2,3,2,4,3,3,4,3,2
405,1,4,2,3,3,3,3,2,4,3,4,4,4,3
406,1,0,0,0,0,0,0,0,0,0,0,0,0,0
407,1,1,1,1,1,0,0,1,0,1,1,0,0,0
409,1,1,1,2,2,1,0,3,2,1,1,0,1,2
410,1,2,1,2,2,1,2,3,2,1,2,0,1,2
411,1,2,1,2,4,2,2,3,2,1,4,1,1,2
412,1,3,2,2,4,2,2,3,2,2,4,1,2,2
413,0,3,3,2,4,3,3,3,3,3,4,2,2,2
415,0,4,3,4,4,4,4,4,4,3,4,3,3,4
416,1,0,1,0,0,1,0,0,0,1,0,1,1,0
417,0,0,1,0,0,2,1,1,0,3,0,1,1,0
418,1,1,1,1,0,2,2,1,0,3,1,2,1,0
419,0,2,2,1,1,2,2,1,1,3,1,3,2,0
420,1,3,2,1,1,2,2,1,1,3,2,3,3,1
421,0,3,2,1,2,4,2,1,2,3,3,3,3,2
422,1,3,2,2,2,4,2,3,2,3,3,3,3,4
423,0,4,3,3,4,4,2,3,4,3,3,3,4,4
424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,0,1,0,0,0,0,0,0,0,1,1,0,0,1
427,0,2,0,1,1,0,1,1,0,2,1,1,1,2
428,0,2,0,1,2,0,2,1,0,3,2,2,1,2
429,1,2,2,2,2,1,3,1,1,3,2,2,2,2
430,0,3,2,3,3,2,3,1,1,4,2,3,2,2
431,0,3,3,4,3,3,3,2,1,4,2,3,3,3
432,1,3,3,4,4,3,4,3,2,4,2,4,3,3
433,0,3,4,4,4,4,4,3,4,4,2,4,4,4
434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,1,0,1,1,0,1,0,2,0,1,0,0,0,0
436,0,0,1,1,2,1,2,3,1,2,0,0,0,0
437,1,0,1,4,2,1,2,3,1,2,0,0,0,2
438,1,2,1,4,2,2,2,3,1,2,0,1,0,2
439,1,2,2,4,2,2,3,3,1,2,1,3,0,2
440,0,2,2,4,2,2,3,3,2,3,1,4,0,3
441,0,2,2,4,2,2,3,3,3,3,1,4,3,3
442,1,2,3,4,3,2,3,3,3,3,4,4,3,3
443,1,3,3,4,3,2,4,3,3,4,4,4,4,3
444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,1,0,0,0,0,2,0,0,1,0,0,1
446,1,0,1,1,0,2,0,2,0,0,1,1,1,1
447,1,0,1,2,1,2,1,3,0,0,1,1,3,1
449,1,0,2,3,3,2,2,3,0,2,1,3,3,3
450,1,1,2,3,3,3,3,4,1,2,1,3,4,3
451,0,3,3,4,3,3,3,4,1,3,1,4,4,4
452,0,3,4,4,4,4,3,4,2,4,2,4,4,4
453,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454,1,1,0,1,0,1,0,1,0,0,1,1,0,0
455,0,1,1,1,0,2,0,1,1,0,1,1,1,1
457,0,1,2,2,2,2,1,1,3,0,2,2,2,2
458,1,2,3,2,2,2,1,2,3,0,3,2,3,3
459,0,3,3,3,2,2,1,2,3,1,3,3,4,4
460,1,4,3,3,3,2,2,2,3,1,4,3,4,4
461,0,4,4,3,4,2,3,3,3,2,4,4,4,4
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,1,1,0,0,1,1,0,0,0,0,1
464,0,1,1,1,1,2,0,1,1,0,0,0,1,1
466,0,1,1,1,2,3,0,2,2,0,1,2,2,2
467,0,1,1,1,2,3,1,3,2,1,1,2,2,3
468,1,1,1,1,2,3,1,4,3,3,1,2,3,3
469,1,1,1,2,2,3,2,4,3,3,2,3,3,4
470,1,1,1,3,2,3,3,4,4,3,3,3,4,4
471,1,2,2,4,3,3,4,4,4,4,3,3,4,4
472,1,0,0,0,0,0,0,0,0,0,0,0,0,0
473,1,0,0,0,0,0,0,0,0,2,0,1,0,1
474,0,1,0,0,0,1,0,1,1,2,0,1,0,3
475,1,1,1,0,0,1,0,1,2,3,0,2,1,3
476,1,1,1,1,0,2,0,2,4,3,1,2,1,3
477,0,2,1,1,2,2,1,2,4,3,2,2,1,3
478,1,3,2,1,2,2,1,2,4,4,2,3,2,3
479,0,3,2,2,3,2,2,2,4,4,3,4,3,3
480,0,3,2,2,3,4,4,3,4,4,3,4,3,3
481,0,4,3,4,4,4,4,3,4,4,4,4,3,3
482,1,0,1,0,1,0,0,1,1,0,0,0,1,1
483,1,1,1,0,1,0,0,1,2,1,0,0,2,1
484,1,2,2,0,1,1,1,1,2,1,1,1,2,1
485,0,2,3,1,1,2,3,2,2,1,1,2,2,1
486,0,2,3,2,1,2,3,3,3,1,1,3,3,1
487,0,2,3,2,1,3,3,3,3,2,1,3,4,2
488,1,2,3,2,2,3,3,4,4,3,2,3,4,2
489,0,3,4,2,3,3,3,4,4,3,3,4,4,2
490,0,4,4,2,3,3,4,4,4,4,3,4,4,3
491,1,0,0,0,0,0,0,0,0,0,0,0,0,0
