,stand,hit,double down,split,surrender
upcard: A hand: 10,-68.50393701,4.587263874,-5.291688178,0,-50
upcard: 7 hand: A 7,42.88385226,19.78723404,25.25808672,0,-50
upcard: 2 hand: 2 2,-33.98058252,-16.15575808,-80.85106383,-2.230022713,-50
upcard: 8 hand: 3 3,-47.71653543,-23.98700897,-145.4545455,-38.23529412,-50
upcard: 5 hand: A 9,71.04185218,22.69230769,44.72972973,0,-50
upcard: 2 hand: 9 9,13.84834461,-65.85365854,-135.7142857,19.28900592,-50
upcard: 5 hand: A A,-47.61904762,-6.060606061,60.53853296,92.05601685,-50
upcard: 8 hand: 21,93.04595953,-90.90909091,0,0,-50
upcard: 9 hand: A 9,77.04130934,15.81920904,6.060606061,0,-50
upcard: 6 hand: A 5,-12.18905473,13.51888668,28.14144821,0,-50
upcard: 9 hand: 6,-56.24142661,-30.34115256,-92.54658385,0,-50
upcard: 9 hand: K K,74.78404472,-92,-200,23.80952381,-50
upcard: 8 hand: 2 2,-46.93396226,-15.78685259,-136.3636364,-24.83974359,-50
upcard: 4 hand: 2 2,-22.47474747,-12.48120301,-18.38235294,11.54143078,-50
upcard: 2 hand: A 10,102.9599482,29.66101695,-400,0,-50
upcard: 6 hand: 5,-14.82112436,4.859794432,-45.45454545,0,-50
upcard: 9 hand: 5,-50.72115385,-26.96180366,-122.6666667,0,-50
upcard: 2 hand: 10,-31.70731707,19.56947162,38.76833556,0,-50
upcard: 4 hand: A 7,21.95736434,9.397590361,31.30306022,0,-50
upcard: 9 hand: A 7,-15.54886395,-11.25839758,-26.46891044,0,-50
upcard: 6 hand: 7 7,-24.06639004,-41.13475177,-61.62790698,23.70792926,-50
upcard: A hand: 8,-63.5443038,-24.92188342,-66.76300578,0,-50
upcard: 5 hand: 6 6,-7.339449541,-19.22005571,-36.84210526,18.62051855,-50
upcard: 2 hand: 10 10,62.54399196,-81.81818182,-169.2307692,21.23287671,-50
upcard: 8 hand: 7 7,-55.7486631,-37.39326971,-98.52941176,-38.28915004,-50
upcard: 3 hand: A 6,-9.129814551,2.212855638,8.670916083,0,-50
upcard: 7 hand: 5 5,-53.62318841,23.34455668,42.61791795,-12.56830601,-50
upcard: 4 hand: A 10,111.7285331,32,64.65863454,0,-50
upcard: 10 hand: Q Q,56.6540737,-83.33333333,-152.9411765,-18.6440678,-50
upcard: 5 hand: 5,-12.40506329,0.91684092,-31.37254902,0,-50
upcard: A hand: A 5,-57.09219858,-20.64947062,-63.49514563,0,-50
upcard: A hand: 10 10,59.98569641,-92.85714286,-171.4285714,8.333333333,-50
upcard: 9 hand: A 10,97.75049924,3.947368421,-17.64705882,0,-50
upcard: 7 hand: 5,-47.64150943,-11.49720726,-122.8070175,0,-50
upcard: 2 hand: J J,63.01251084,-86.66666667,-200,23.92638037,-50
upcard: A hand: 5,-70.38123167,-30.81136061,-128.9855072,0,-50
upcard: 6 hand: 10 10,68.56537102,-85.71428571,-200,54.00161681,-50
upcard: 8 hand: A 9,79.2400479,17.44186047,18.18181818,0,-50
upcard: 5 hand: A 8,49.10801917,21.1023622,46.22356495,0,-50
upcard: 5 hand: A 10,123.6924686,42.55319149,52.89256198,0,-50
upcard: A hand: A 7,-18.29931973,-14.8951049,-34.65045593,0,-50
upcard: 3 hand: A 4,-21.27329193,2.614095898,6.833952478,0,-50
upcard: 7 hand: 6,-46.52908068,-14.98605228,-64.11290323,0,-50
upcard: 8 hand: K K,77.897474,-68.75,-129.4117647,11.36363636,-50
upcard: 3 hand: 5 5,-20.3125,19.37842779,47.01819631,-10.79545455,-50
upcard: 8 hand: J J,78.17277812,-84.61538462,-175,27.83018868,-50
upcard: 7 hand: J J,76.57135659,-91.66666667,-211.1111111,35.7615894,-50
upcard: 9 hand: Q Q,73.91908976,-74.19354839,-146.6666667,18.68131868,-50
upcard: 8 hand: A 4,-29.21455939,-3.257683215,-26.9058296,0,-50
upcard: 8 hand: A 10,100.5900948,10,22.11538462,0,-50
upcard: 2 hand: A 3,-28.24156306,0.597647966,0.3393891,0,-50
upcard: 7 hand: 9 9,41.28319748,-51.38888889,-136.3636364,10.22222222,-50
upcard: 5 hand: A 2,-20.54380665,14.43071492,20.89441912,0,-50
upcard: 10 hand: 5 5,-55.20833333,1.753855458,-0.923694779,-130,-50
upcard: 6 hand: A 9,73.41383648,36.11793612,61.24234471,0,-50
upcard: 7 hand: 10 10,76.95297318,-84.61538462,-166.6666667,47.08333333,-50
upcard: 7 hand: A 10,105.5534821,34.64566929,1.639344262,0,-50
upcard: A hand: 3 3,-70.70063694,-34.99030068,-116.4705882,-44.8699422,-50
upcard: 3 hand: A 8,42.20876827,13.58024691,32.65922125,0,-50
upcard: 5 hand: 9 9,20.63903282,-56.16438356,-133.3333333,37.60099441,-50
upcard: 5 hand: 3 3,-14.64788732,-24.03433476,-23.04526749,25.11947065,-50
upcard: 10 hand: K K,56.92236401,-79.48717949,-200,20.18561485,-50
upcard: 5 hand: 10 10,69.18087001,-100,-133.3333333,31.15727003,-50
upcard: 3 hand: 10 10,63.08860759,-100,-190.9090909,16.32653061,-50
upcard: 5 hand: A 7,22.11280215,18.92629663,34.42003066,0,-50
upcard: 2 hand: 5,-27.10643016,-13.54864381,-79.45205479,0,-50
upcard: 3 hand: A 3,-22.80701754,3.398479913,2.588721439,0,-50
upcard: 5 hand: A 6,0.464576074,13.85159011,27.90973872,0,-50
upcard: A hand: 21,90.72556224,-100,0,0,-50
upcard: 3 hand: 4 4,-21.72284644,3.691813804,-12.21052632,-3.063343718,-50
upcard: 3 hand: 7 7,-23.29700272,-48.13084112,-72.64957265,1.814662473,-50
upcard: 7 hand: A A,-7.627118644,14.35897436,18.56060606,69.70227671,-50
upcard: 5 hand: Q Q,67.09367494,-83.33333333,-169.2307692,44.76584022,-50
upcard: 4 hand: 5 5,-9.677419355,21.65354331,51.03214006,-16.17647059,-50
upcard: 6 hand: 3 3,-3.043478261,-6.994818653,-27.77777778,30.54156945,-50
upcard: 5 hand: J J,67.26556344,-92.59259259,-200,59.22787194,-50
upcard: 6 hand: Q Q,67.96364669,-66.66666667,-200,52.03989121,-50
upcard: 2 hand: 3 3,-30.1369863,-14.83425829,-43.99185336,-280,-50
upcard: 2 hand: K K,62.00215285,-84.375,-138.8888889,40.68441065,-50
upcard: 3 hand: 2 2,-26.64233577,-8.729993764,-35.04950495,-9.569577936,-50
upcard: 7 hand: A 5,-34.05797101,-1.100217382,-12.19784306,0,-50
upcard: 9 hand: A A,-40,-5.801104972,-30.39215686,30.43534594,-50
upcard: 6 hand: 5 5,-0.680272109,39.97378768,61.93397604,29.09930716,-50
upcard: A hand: A 3,-59.21325052,-14.12123264,-64.66512702,0,-50
upcard: 3 hand: Q Q,64.18936789,-74.28571429,-141.1764706,39.49447077,-50
upcard: 5 hand: 8 8,-16.22516556,-45.83333333,-105.1282051,27.81979978,-50
upcard: A hand: J J,60.20025031,-77.14285714,-200,-113.6363636,-50
upcard: 7 hand: 6 6,-52.49406176,-22.24875622,-72.08121827,-25.46328071,-50
upcard: 8 hand: 10 10,78.33333333,-84.61538462,-146.6666667,-11.9047619,-50
upcard: 2 hand: 6,-28.54291417,-12.76295536,-59.70149254,0,-50
upcard: A hand: 8 8,-52.94605809,-54.64006938,-134.2857143,-43.67521368,-50
upcard: 5 hand: K K,67.67567568,-67.56756757,-200,49.41675504,-50
upcard: 7 hand: 7 7,-48.39857651,-35.1888668,-67.76315789,-7.631624078,-50
upcard: 8 hand: 4 4,-64.41717791,-5.530581665,-66.23376623,-36.77419355,-50
upcard: 9 hand: 9 9,-17.30141458,-64.84848485,-169.2307692,-9.757145927,-50
