,stand,hit,double down,split,surrender
upcard: 3 hand: 18 cv bin: 1,15.044062399620108,-63.55932203389835,-114.81481481481481,0.0,0
upcard: 10 hand: 13 cv bin: 0,-55.971659919028326,-37.36243322608202,-75.95190380761522,0.0,0
upcard: A hand: A A cv bin: 0,-66.47727272727273,-3.2558139534883783,-58.62068965517241,-0.22624434389140405,0
upcard: 2 hand: 7 cv bin: 1,-28.26552462526766,-10.379223975040626,-43.071161048689135,0.0,0
upcard: 10 hand: A 2 cv bin: 2,-38.97265525172496,-15.040350741056907,-70.79646017699116,0.0,0
upcard: 9 hand: 12 cv bin: 2,-54.26476263990738,-39.52295583314955,-82.71276595744683,0.0,0
upcard: 10 hand: 5 5 cv bin: 1,-67.93893129770996,1.7620041753653408,-0.17685699848408298,-93.67088607594937,0
upcard: 9 hand: 17 cv bin: 2,-44.45435049757855,-62.56742179072276,-116.66666666666667,0.0,0
upcard: 5 hand: 10 cv bin: 2,-26.126126126126128,39.848914069877296,73.32935748140225,0.0,0
upcard: 5 hand: 17 cv bin: 2,4.2637320097883356,-56.476683937823836,-108.19672131147541,0.0,0
upcard: 9 hand: 6 6 cv bin: 2,-56.69957686882932,-37.754293262879806,-79.67479674796745,-68.74999999999999,0
upcard: 8 hand: 15 cv bin: 2,-53.942126231914436,-47.535969394827006,-113.855421686747,0.0,0
upcard: 5 hand: 14 cv bin: 2,-5.814663806452488,-34.73132372214942,-166.66666666666663,0.0,0
upcard: 3 hand: 12 cv bin: 1,-24.02280608946101,-22.679077795586164,-46.95378151260501,0.0,0
upcard: A hand: 19 cv bin: 2,22.996540281013797,-76.62337662337663,-163.63636363636363,0.0,0
upcard: 10 hand: 10 cv bin: 1,-56.25,2.8858605631682113,0.3447735464660764,0.0,0
upcard: 5 hand: A 7 cv bin: 1,28.499916569330885,12.322274881516588,31.83248132127408,0.0,0
upcard: 5 hand: 12 cv bin: 1,-14.183979368757294,-16.961258532616,-32.24699828473413,0.0,0
upcard: 4 hand: 6 cv bin: 0,-25.97950572634117,-11.354848891343815,-36.26943005181351,0.0,0
upcard: 2 hand: A 4 cv bin: 1,-17.03394877903517,-1.2571767966739271,-8.962426749396752,0.0,0
upcard: 10 hand: 8 cv bin: 2,-56.56167979002625,-27.286767583806604,-77.5800711743772,0.0,0
upcard: 9 hand: 16 cv bin: 2,-55.56881977156873,-55.77928228154489,-104.52961672473864,0.0,0
upcard: 4 hand: 10 cv bin: 2,1.650165016501648,36.12971448713429,68.78296605507576,0.0,0
upcard: A hand: 16 cv bin: 2,-53.201280512204924,-58.30980613589309,-107.62711864406782,0.0,0
upcard: 2 hand: 6 cv bin: 1,-29.468599033816435,-15.063838550247098,-79.33333333333331,0.0,0
upcard: 8 hand: 10 cv bin: 2,-55.208333333333336,23.45725608605394,40.77873142139424,0.0,0
upcard: A hand: 13 cv bin: 1,-61.02236421725238,-41.68623265741718,-105.02793296089385,0.0,0
upcard: 2 hand: 16 cv bin: 0,-32.79351831038226,-46.71584123638912,-72.19730941704044,0.0,0
upcard: 10 hand: 16 cv bin: 0,-52.078537130829424,-48.396118447481044,-79.23784494086725,0.0,0
upcard: 8 hand: 17 cv bin: 0,-37.63197460741788,-45.94432804549541,-94.01709401709402,0.0,0
upcard: 7 hand: 9 cv bin: 0,-48.554913294797686,15.000323004371346,4.602287842511304,0.0,0
upcard: 3 hand: 15 cv bin: 0,-29.405740372681556,-38.46811420755668,-94.76744186046515,0.0,0
upcard: 6 hand: 11 cv bin: 1,-17.058823529411768,39.43175273564974,71.97673309812173,0.0,0
upcard: 10 hand: 7 cv bin: 1,-58.22401614530779,-32.853386753473345,-85.93749999999997,0.0,0
upcard: 9 hand: A 8 cv bin: 2,28.090873207315475,2.9304029304029324,-3.082191780821915,0.0,0
upcard: 3 hand: 13 cv bin: 1,-24.65524765437496,-30.37662460867088,-53.19148936170217,0.0,0
upcard: 2 hand: 9 cv bin: 2,-30.0,10.718520275077063,20.014532243415143,0.0,0
